village_id,village_name,district,state,latitude,longitude,population,hazard_type,hazard_intensity,disaster_history_score,data_confidence,source_notes,population_note
VLG-001,Guwahati Hill Slopes (366 sites),Kamrup Metropolitan,Assam,26.1445,91.7362,7878,Landslide,0.7,0.75,HIGH,"Sentinel Assam reporting on 2026 Guwahati hills survey | Approximate location, exact geocoding pending — Guwahati representative coordinate used for the 366-site hill-slope zone.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-002,Boragaon,Kamrup Metropolitan,Assam,26.1095,91.6882,788,Landslide,0.7,0.5,HIGH,Ajmal IAS Academy analysis citing local reporting | Verified Boragaon locality coordinate.,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-003,Jatinga-Lampur & New Harangajao (rail stations),Dima Hasao,Assam,25.169976,93.015197,300,Landslide,0.7,0.3,HIGH,"Sentinel Assam field reporting, May 2024 | Approximate location, exact geocoding pending — Dima Hasao district headquarters (Haflong) used because the row combines Jatinga-Lampur and New Harangajao railway-station areas.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-004,Hangrum village (Mahur PS area),Dima Hasao,Assam,25.13862,93.30215,300,Landslide,0.7,0.5,HIGH,Deccan Herald reporting,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-005,Haflong town area,Dima Hasao,Assam,25.169976,93.015197,800,Landslide,0.7,0.9,HIGH,Multiple wire-service reports (2022 monsoon season) | Verified Haflong town coordinate.,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-006,Cachar district-wide landslide/urban flood zone,Cachar,Assam,24.8333,92.8,3000,Flood,0.7,0.4,HIGH,"ASDMA bulletin via KRC Times reporting | Approximate location, exact geocoding pending — Cachar/Silchar representative coordinate used for the district-wide zone.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-007,Bagdigi,Dhanbad,Jharkhand,23.795653,86.430386,790,Ground Subsidence,0.78,0.3,HIGH,The Migration Story field reporting,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-008,Kujama,Dhanbad,Jharkhand,23.729634,86.432346,790,Ground Subsidence,0.88,0.3,HIGH,Down To Earth 'On shaky ground' field reporting,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-009,Kenduadih (Putki-Balihari Colliery area),Dhanbad,Jharkhand,23.77574,86.37609,790,Ground Subsidence,0.93,0.3,HIGH,Down To Earth reporting on Dhanbad gas leak incident,"Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
VLG-010,Lalten Ganj,Dhanbad,Jharkhand,23.795653,86.430386,790,Ground Subsidence,0.88,0.3,HIGH,"Down To Earth 'Reign of Fire' reporting (2025) | Approximate location, exact geocoding pending — Dhanbad district headquarters coordinate used because Lalten Ganj is a coalfield settlement without a sufficiently reliable standalone public GPS point.","Estimated: district density x assumed habitation-type area, floored to a realistic minimum (no official village-level census figure available)"
